Lances small to big
Commando,Cicada,Jagermech,Cyclops,3409
Commando,Cicada,Jagermech,Zeus,3475
Spider,Cicada,Jagermech,Cyclops,3490
Commando,Assassin,Jagermech,Cyclops,3499
Commando,Clint,Jagermech,Cyclops,3520
Commando,Cicada,Jagermech,Banshee,3523
Commando,Hermes II,Jagermech,Cyclops,3534
Spider,Cicada,Jagermech,Zeus,3556
Commando,Assassin,Jagermech,Zeus,3565
Spider,Assassin,Jagermech,Cyclops,3580
Commando,Clint,Jagermech,Zeus,3586
Commando,Hermes II,Jagermech,Zeus,3600
Spider,Clint,Jagermech,Cyclops,3601
Spider,Cicada,Jagermech,Banshee,3604
Commando,Assassin,Jagermech,Banshee,3613
Spider,Hermes II,Jagermech,Cyclops,3615
Commando,Cicada,Dragon,Cyclops,3633
Commando,Clint,Jagermech,Banshee,3634
Panther,Cicada,Jagermech,Cyclops,3637
Spider,Assassin,Jagermech,Zeus,3646
Commando,Hermes II,Jagermech,Banshee,3648
Spider,Clint,Jagermech,Zeus,3667
Spider,Hermes II,Jagermech,Zeus,3681
Spider,Assassin,Jagermech,Banshee,3694
Commando,Cicada,Dragon,Zeus,3699
Commando,Cicada,Quickdraw,Cyclops,3700
Panther,Cicada,Jagermech,Zeus,3703
Commando,Cicada,Jagermech,Awesome,3706
Spider,Cicada,Dragon,Cyclops,3714
Spider,Clint,Jagermech,Banshee,3715
Commando,Assassin,Dragon,Cyclops,3723
Panther,Assassin,Jagermech,Cyclops,3727
Spider,Hermes II,Jagermech,Banshee,3729
Commando,Whitworth,Jagermech,Cyclops,3732
Jenner,Cicada,Jagermech,Cyclops,3743
Commando,Clint,Dragon,Cyclops,3744
Commando,Cicada,Dragon,Banshee,3747
Panther,Clint,Jagermech,Cyclops,3748
Panther,Cicada,Jagermech,Banshee,3751
Commando,Hermes II,Dragon,Cyclops,3758
Panther,Hermes II,Jagermech,Cyclops,3762
Commando,Cicada,Quickdraw,Zeus,3766
Commando,Vindicator,Jagermech,Cyclops,3774
Spider,Cicada,Dragon,Zeus,3780
Spider,Cicada,Quickdraw,Cyclops,3781
Commando,Enforcer,Jagermech,Cyclops,3782
Spider,Cicada,Jagermech,Awesome,3787
Commando,Assassin,Dragon,Zeus,3789
Commando,Assassin,Quickdraw,Cyclops,3790
Commando,Hunchback,Jagermech,Cyclops,3791
Panther,Assassin,Jagermech,Zeus,3793
Commando,Assassin,Jagermech,Awesome,3796
Commando,Whitworth,Jagermech,Zeus,3798
Spider,Assassin,Dragon,Cyclops,3804
Jenner,Cicada,Jagermech,Zeus,3809
Commando,Clint,Dragon,Zeus,3810
Commando,Clint,Quickdraw,Cyclops,3811
Spider,Whitworth,Jagermech,Cyclops,3813
Commando,Cicada,Quickdraw,Banshee,3814
Panther,Clint,Jagermech,Zeus,3814
Commando,Clint,Jagermech,Awesome,3817
Commando,Hermes II,Dragon,Zeus,3824
Commando,Hermes II,Quickdraw,Cyclops,3825
Spider,Clint,Dragon,Cyclops,3825
Spider,Cicada,Dragon,Banshee,3828
Panther,Hermes II,Jagermech,Zeus,3828
Commando,Hermes II,Jagermech,Awesome,3831
Jenner,Assassin,Jagermech,Cyclops,3833
Commando,Assassin,Dragon,Banshee,3837
Spider,Hermes II,Dragon,Cyclops,3839
Commando,Vindicator,Jagermech,Zeus,3840
Panther,Assassin,Jagermech,Banshee,3841
Commando,Whitworth,Jagermech,Banshee,3846
Spider,Cicada,Quickdraw,Zeus,3847
Commando,Enforcer,Jagermech,Zeus,3848
Jenner,Clint,Jagermech,Cyclops,3854
Spider,Vindicator,Jagermech,Cyclops,3855
Commando,Assassin,Quickdraw,Zeus,3856
Commando,Hunchback,Jagermech,Zeus,3857
Jenner,Cicada,Jagermech,Banshee,3857
Commando,Clint,Dragon,Banshee,3858
Panther,Cicada,Dragon,Cyclops,3861
Panther,Clint,Jagermech,Banshee,3862
Spider,Enforcer,Jagermech,Cyclops,3863
Jenner,Hermes II,Jagermech,Cyclops,3868
Spider,Assassin,Dragon,Zeus,3870
Spider,Assassin,Quickdraw,Cyclops,3871
Commando,Hermes II,Dragon,Banshee,3872
Spider,Hunchback,Jagermech,Cyclops,3872
Panther,Hermes II,Jagermech,Banshee,3876
Commando,Clint,Quickdraw,Zeus,3877
Spider,Assassin,Jagermech,Awesome,3877
